Date,Rate
2024-08-29,5.0
2024-08-30,5.0
2024-08-31,5.0
2024-09-01,5.0
2024-09-02,5.0
2024-09-03,5.0
2024-09-09,5.0
2024-09-12,5.0
2024-09-13,5.0
2024-09-16,5.0
2024-09-17,5.0
2024-09-18,5.0
2024-09-19,5.0
2024-09-22,5.0
2024-09-26,5.0
2024-09-28,5.0
2024-10-03,5.0
2024-10-05,5.0
2024-10-06,5.0
2024-10-07,5.0
2024-10-08,5.0
2024-10-09,5.0
2024-10-10,5.0
2024-10-11,5.0
2024-10-14,5.0
2024-10-15,5.0
2024-10-16,5.0
2024-10-17,5.0
2024-10-18,5.0
2024-10-19,5.0
2024-10-20,5.0
2024-10-22,5.0
2024-10-23,5.0
2024-10-24,5.0
2024-10-25,5.0
2024-11-11,4.75
2024-11-12,4.75
2024-11-13,4.75
2024-11-14,4.75
2024-11-15,4.75
2024-11-18,4.75
2024-11-19,4.75
2024-11-20,4.75
2024-11-21,4.75
2024-11-22,4.75
2024-12-03,4.75
2024-12-04,4.75
2024-12-05,4.75
2024-12-06,4.75
2024-12-07,4.75
2024-12-08,4.75
2024-12-09,4.75
2024-12-10,4.75
2024-12-11,4.75
2024-12-12,4.75
2024-12-13,4.75
2024-12-14,4.75
2024-12-15,4.75
2024-12-21,4.75
2024-12-23,4.75
2024-12-29,4.75
2024-12-30,4.75
2024-12-31,4.75
2025-01-01,4.75
2025-01-03,4.75
2025-01-04,4.75
2025-01-05,4.75
2025-01-06,4.75
2025-01-07,4.75
2025-01-08,4.75
2025-01-09,4.75
2025-01-10,4.75
2025-01-12,4.75
2025-01-14,4.75
2025-01-15,4.75
2025-01-16,4.75
2025-01-17,4.75
2025-01-18,4.75
2025-01-19,4.75
2025-01-20,4.75
2025-01-21,4.75
2025-01-22,4.75
2025-01-27,4.75
2025-01-28,4.75
2025-01-29,4.75
2025-01-30,4.75
2025-01-31,4.75
2025-02-01,4.75
2025-02-02,4.75
2025-02-03,4.75
2025-02-04,4.75
2025-02-05,4.75
2025-02-06,4.75
2025-02-07,4.5
2025-02-08,4.5
2025-02-09,4.5
2025-02-10,4.5
2025-02-12,4.5
2025-02-13,4.5
2025-02-14,4.5
2025-02-18,4.5
2025-02-19,4.5
2025-02-20,4.5
2025-02-21,4.5
2025-02-22,4.5
2025-02-23,4.5
2025-02-24,4.5
2025-02-25,4.5
2025-02-26,4.5
2025-02-27,4.5
2025-02-28,4.5
2025-03-03,4.5
2025-03-04,4.5
2025-03-05,4.5
2025-03-06,4.5
2025-03-07,4.5
2025-03-10,4.5
2025-03-11,4.5
2025-03-12,4.5
2025-03-13,4.5
2025-03-15,4.5
2025-03-16,4.5
2025-03-17,4.5
2025-03-20,4.5
2025-03-21,4.5
2025-03-22,4.5
2025-03-23,4.5
2025-03-24,4.5
2025-03-25,4.5
2025-03-26,4.5
2025-03-27,4.5
2025-03-28,4.5
2025-03-29,4.5
2025-03-30,4.5
2025-03-31,4.5
2025-04-01,4.5
2025-04-02,4.5
2025-04-03,4.5
2025-04-04,4.5
2025-04-05,4.5
2025-04-06,4.5
2025-04-07,4.5
2025-04-08,4.5
2025-04-09,4.5
2025-04-10,4.5
2025-06-13,4.25
2025-06-18,4.25
2025-06-19,4.25
2025-06-23,4.25
2025-06-24,4.25
2025-06-26,4.25
2025-06-27,4.25
2025-06-28,4.25
2025-06-29,4.25
2025-06-30,4.25
2025-07-01,4.25
2025-07-02,4.25
2025-07-03,4.25
2025-07-04,4.25
2025-08-24,4.0
2025-08-25,4.0
2025-08-26,4.0
